분과,질환,subgroup,OddsRatioEst,LowerCL,UpperCL,air,p-value
뇌졸중,뇌졸중(전체),SMK_UNKNOWN,0.965,0.959,0.97,PM25,
뇌졸중,뇌졸중(전체),under65,0.978,0.97,0.986,PM25,
안과,비감염성 전방 포도막염,age650,1.007,1,1.015,pm10,0.0446
안과,비감염성 전방 포도막염,age651,1.014,1.006,1.023,pm10,
안과,비감염성 전방 포도막염,medicaid0,1.01,1.004,1.016,pm10,
안과,비감염성 전방 포도막염,medicaid1,1.014,0.99,1.038,pm10,
안과,비감염성 전방 포도막염,sex_type0,1.013,1.006,1.021,pm10,
안과,비감염성 전방 포도막염,sex_type1,1.006,0.998,1.015,pm10,
안과,비감염성 전방 포도막염,age650,1.006,0.993,1.02,pm25,
안과,비감염성 전방 포도막염,age651,1.022,1.006,1.039,pm25,
안과,비감염성 전방 포도막염,medicaid0,1.013,1.002,1.024,pm25,
안과,비감염성 전방 포도막염,medicaid1,1.019,0.974,1.067,pm25,
안과,비감염성 전방 포도막염,sex_type0,1.014,0.999,1.028,pm25,
안과,비감염성 전방 포도막염,sex_type1,1.012,0.997,1.028,pm25,
안과,비감염성 비전방 포도막염,age650,1,0.977,1.023,pm10,
안과,비감염성 비전방 포도막염,age651,1.013,0.991,1.035,pm10,
안과,비감염성 비전방 포도막염,medicaid0,1.006,0.99,1.022,pm10,
안과,비감염성 비전방 포도막염,medicaid1,1.014,0.959,1.073,pm10,
안과,비감염성 비전방 포도막염,sex_type0,1.016,0.993,1.04,pm10,
안과,비감염성 비전방 포도막염,sex_type1,0.998,0.978,1.02,pm10,
안과,비감염성 비전방 포도막염,age650,1.007,0.968,1.047,pm25,
안과,비감염성 비전방 포도막염,age651,1.023,0.984,1.064,pm25,
안과,비감염성 비전방 포도막염,medicaid0,1.009,0.98,1.039,pm25,
안과,비감염성 비전방 포도막염,medicaid1,1.086,0.984,1.199,pm25,
안과,비감염성 비전방 포도막염,sex_type0,1.024,0.983,1.068,pm25,
안과,비감염성 비전방 포도막염,sex_type1,1.008,0.971,1.046,pm25,
안과,비감염성 공막염,age650,0.975,0.95,1.002,pm10,
안과,비감염성 공막염,age651,1.002,0.97,1.035,pm10,
안과,비감염성 공막염,medicaid0,0.985,0.964,1.006,pm10,
안과,비감염성 공막염,medicaid1,0.999,0.921,1.084,pm10,
안과,비감염성 공막염,sex_type0,0.985,0.953,1.018,pm10,
안과,비감염성 공막염,sex_type1,0.987,0.961,1.013,pm10,
안과,비감염성 공막염,age650,0.943,0.9,0.988,pm25,
안과,비감염성 공막염,age651,0.994,0.938,1.054,pm25,
안과,비감염성 공막염,medicaid0,0.958,0.923,0.994,pm25,
안과,비감염성 공막염,medicaid1,1.039,0.889,1.214,pm25,
안과,비감염성 공막염,sex_type0,0.952,0.898,1.009,pm25,
안과,비감염성 공막염,sex_type1,0.968,0.924,1.014,pm25,
소화기,크론병,female,0.997,0.981,1.012,PM10,
소화기,크론병,male,1.009,0.994,1.023,PM10,
소화기,크론병,medicaid,0.956,0.913,1.001,PM10,
소화기,크론병,normal,1.006,0.995,1.017,PM10,
소화기,크론병,over65,1.004,0.986,1.021,PM10,
소화기,크론병,under65,1.002,0.989,1.016,PM10,
소화기,크론병,female,0.986,0.956,1.016,PM25,
소화기,크론병,male,1.006,0.979,1.034,PM25,
소화기,크론병,medicaid,0.918,0.839,1.004,PM25,
소화기,크론병,normal,1.001,0.981,1.022,PM25,
소화기,크론병,over65,1,0.967,1.034,PM25,
소화기,크론병,under65,0.995,0.97,1.021,PM25,
소화기,궤양성대장염,female,0.998,0.987,1.01,PM10,
소화기,궤양성대장염,male,1.004,0.994,1.014,PM10,
소화기,궤양성대장염,medicaid,0.974,0.938,1.01,PM10,
소화기,궤양성대장염,normal,1.003,0.995,1.011,PM10,
소화기,궤양성대장염,over65,1.005,0.993,1.018,PM10,
소화기,궤양성대장염,under65,0.999,0.99,1.009,PM10,
소화기,궤양성대장염,female,0.998,0.977,1.02,PM25,
소화기,궤양성대장염,male,1.011,0.992,1.029,PM25,
소화기,궤양성대장염,medicaid,0.964,0.9,1.034,PM25,
소화기,궤양성대장염,normal,1.007,0.993,1.022,PM25,
소화기,궤양성대장염,over65,1.014,0.992,1.038,PM25,
소화기,궤양성대장염,under65,1,0.983,1.018,PM25,
내분비,2형당뇨병,age650,0.999,0.989,1.01,pm10,
내분비,2형당뇨병,age651,1.002,0.994,1.01,pm10,
내분비,2형당뇨병,bmi_cat11,0.994,0.979,1.008,pm10,
내분비,2형당뇨병,bmi_cat12,1.008,0.996,1.021,pm10,
내분비,2형당뇨병,bmi_cat19,1.001,0.992,1.009,pm10,
내분비,2형당뇨병,dyslip10,1.001,0.992,1.011,pm10,
내분비,2형당뇨병,dyslip11,1.001,0.993,1.01,pm10,
내분비,2형당뇨병,hyper10,1.002,0.991,1.014,pm10,
내분비,2형당뇨병,hyper11,1.001,0.993,1.008,pm10,
내분비,2형당뇨병,medicaid0,1.002,0.995,1.008,pm10,
내분비,2형당뇨병,medicaid1,1,0.983,1.016,pm10,
내분비,2형당뇨병,sex_type0,1.005,0.997,1.014,pm10,
내분비,2형당뇨병,sex_type1,0.996,0.987,1.006,pm10,
내분비,2형당뇨병,smk11,0.997,0.984,1.009,pm10,
내분비,2형당뇨병,smk12,1.009,0.994,1.025,pm10,
내분비,2형당뇨병,smk19,1.001,0.993,1.01,pm10,
내분비,2형당뇨병,age650,0.999,0.98,1.019,pm25,
내분비,2형당뇨병,age651,1.004,0.989,1.019,pm25,
내분비,2형당뇨병,bmi_cat11,0.995,0.969,1.022,pm25,
내분비,2형당뇨병,bmi_cat12,1.013,0.991,1.036,pm25,
내분비,2형당뇨병,bmi_cat19,0.999,0.982,1.015,pm25,
내분비,2형당뇨병,dyslip10,1.007,0.988,1.026,pm25,
내분비,2형당뇨병,dyslip11,0.999,0.983,1.014,pm25,
내분비,2형당뇨병,hyper10,1.014,0.993,1.036,pm25,
내분비,2형당뇨병,hyper11,0.997,0.983,1.011,pm25,
내분비,2형당뇨병,medicaid0,1.004,0.991,1.017,pm25,
내분비,2형당뇨병,medicaid1,0.991,0.961,1.023,pm25,
내분비,2형당뇨병,sex_type0,1.012,0.996,1.029,pm25,
내분비,2형당뇨병,sex_type1,0.99,0.973,1.008,pm25,
내분비,2형당뇨병,smk11,0.994,0.973,1.016,pm25,
내분비,2형당뇨병,smk12,1.023,0.995,1.052,pm25,
내분비,2형당뇨병,smk19,0.999,0.983,1.016,pm25,
정신질환,자폐스펙트럼,fcode0,1.192,0.935,1.519,pm10,
정신질환,자폐스펙트럼,fcode1,0.767,0.584,1.007,pm10,
정신질환,자폐스펙트럼,medicaid0,0.987,0.838,1.163,pm10,
정신질환,자폐스펙트럼,medicaid1,0.787,0.4,1.55,pm10,
정신질환,자폐스펙트럼,sex1,1,0.847,1.181,pm10,
정신질환,자폐스펙트럼,sex2,0.855,0.534,1.369,pm10,
정신질환,자폐스펙트럼,fcode0,1.127,0.726,1.75,pm25,
정신질환,자폐스펙트럼,fcode1,0.695,0.443,1.092,pm25,
정신질환,자폐스펙트럼,medicaid0,0.873,0.626,1.218,pm25,
정신질환,자폐스펙트럼,medicaid1,0.86,0.273,2.711,pm25,
정신질환,자폐스펙트럼,sex1,0.904,0.646,1.265,pm25,
정신질환,자폐스펙트럼,sex2,0.802,0.368,1.75,pm25,
정신질환,주의력결핍장애,fcode0,1.025,0.884,1.189,pm10,
정신질환,주의력결핍장애,fcode1,1.006,0.951,1.065,pm10,
정신질환,주의력결핍장애,medicaid0,1.008,0.954,1.065,pm10,
정신질환,주의력결핍장애,medicaid1,1.023,0.864,1.212,pm10,
정신질환,주의력결핍장애,sex1,0.996,0.935,1.061,pm10,
정신질환,주의력결핍장애,sex2,1.049,0.944,1.164,pm10,
정신질환,주의력결핍장애,fcode0,1.097,0.856,1.406,pm25,
정신질환,주의력결핍장애,fcode1,0.997,0.886,1.121,pm25,
정신질환,주의력결핍장애,medicaid0,1.022,0.912,1.146,pm25,
정신질환,주의력결핍장애,medicaid1,0.978,0.738,1.296,pm25,
정신질환,주의력결핍장애,sex1,0.961,0.843,1.095,pm25,
정신질환,주의력결핍장애,sex2,1.136,0.95,1.359,pm25,
신경계,편두통,bmi_cat11,0.994,0.958,1.031,pm10,
신경계,편두통,bmi_cat12,0.988,0.931,1.048,pm10,
신경계,편두통,bmi_cat19,0.985,0.97,1.001,pm10,
신경계,편두통,medicaid0,0.989,0.975,1.003,pm10,
신경계,편두통,medicaid1,0.929,0.864,0.998,pm10,
신경계,편두통,sex1,0.994,0.972,1.016,pm10,
신경계,편두통,sex2,0.983,0.966,1,pm10,
신경계,편두통,smk11,0.99,0.955,1.026,pm10,
신경계,편두통,smk12,1.008,0.944,1.076,pm10,
신경계,편두통,smk19,0.985,0.97,1.001,pm10,
신경계,편두통,bmi_cat11,1.015,0.945,1.09,pm25,
신경계,편두통,bmi_cat12,1.009,0.91,1.119,pm25,
신경계,편두통,bmi_cat19,0.985,0.957,1.013,pm25,
신경계,편두통,medicaid0,0.992,0.966,1.018,pm25,
신경계,편두통,medicaid1,0.955,0.841,1.085,pm25,
신경계,편두통,sex1,0.991,0.948,1.035,pm25,
신경계,편두통,sex2,0.99,0.959,1.022,pm25,
신경계,편두통,smk11,1.008,0.941,1.08,pm25,
신경계,편두통,smk12,1.045,0.935,1.168,pm25,
신경계,편두통,smk19,0.984,0.956,1.013,pm25,
피부,아토피성피부염,h_allergy0,1.001,0.986,1.017,pm10,
피부,아토피성피부염,h_allergy1,1.017,0.996,1.038,pm10,
피부,아토피성피부염,medicaid0,1.004,0.991,1.017,pm10,
피부,아토피성피부염,medicaid1,1.046,0.992,1.103,pm10,
피부,아토피성피부염,sex1,1.006,0.988,1.023,pm10,
피부,아토피성피부염,sex2,1.007,0.989,1.026,pm10,
피부,아토피성피부염,h_allergy0,1.006,0.976,1.037,pm25,
피부,아토피성피부염,h_allergy1,1.053,1.008,1.101,pm25,
피부,아토피성피부염,medicaid0,1.019,0.993,1.046,pm25,
피부,아토피성피부염,medicaid1,1.049,0.928,1.186,pm25,
피부,아토피성피부염,sex1,1.022,0.987,1.059,pm25,
피부,아토피성피부염,sex2,1.019,0.983,1.056,pm25,
